Title,Video ID,Channel,Duration,View count,Comment count,Like count
"Scott H. - NA Speaker - ""Staying in the Now, Living in Today""", _Ob9x07qwP4, Odomtology 12-Step Recovery Media, PT1H3M49S, 50749, 50, 357
Jose P. - NA Speaker - VERY moving share!, 5K_CEk50iXw, Odomtology 12-Step Recovery Media, PT42M38S, 72614, 180, 783
"Frank S. - NA Speaker - ""Every day clean is a day won""", nADyj2-6eDU, Odomtology 12-Step Recovery Media, PT37M30S, 34388, 29, 279
Adam T - NA Speaker - 12-Step Recovery - Drug addiction - NA Speakers - Narcotics Anonymous, ui2hNSxcXCs, Odomtology 12-Step Recovery Media, PT53M6S, 144201, 164, 1439
"Troy S. - NA Speaker - ""Escaping from the Prison of Addiction""", S0R68Qz0I0c, Odomtology 12-Step Recovery Media, PT54M58S, 63833, 56, 441
"NA Speaker Gary C. Palm Springs, California 2016", oW4VcmbsJug, AA Speakers and More, PT25M30S, 390, 0, 6
"Lesley H. - NA Speaker - ""Relationships: Now it's Personal""", aGaBbP-iyqY, AA Speakers and More, PT27M19S, 846, 0, 9
"Anntionette B. - NA Speaker - ""One Disease, One Program"" 12-Step Addiction Recovery", R0kRw949its, Odomtology 12-Step Recovery Media, PT47M16S, 10006, 38, 155
"Brian ""Yellow Eyes"" - NA Speaker - ""Addict on a Mission!""", SIF0WHUhoVo, Odomtology 12-Step Recovery Media, PT48M41S, 10955, 6, 78
NA Speaker Richard N - Dec 2015, H05vuINp4Cs, Richard Neumann, PT54M43S, 1131, 4, 13
Blaze - NA Speaker - Narcotics Anonymous Speaker, c69Aw5AWXps, AA Speakers and More, PT1H27S, 9988, 22, 177
NA Speaker - Mark L. - Narcotics Anonymous Speaker, 0omIhWOiZFo, AA Speakers and More, PT52M17S, 72286, 54, 972
"Cynthia W. - NA Speaker - ""I Can Overcome ANYTHING""", Qjkaaax1BKs, Odomtology 12-Step Recovery Media, PT50M3S, 28624, 32, 373
"Benji W. - NA Speaker - ""Being an addict and the Power and Freedom of Recovery""", BtquzJY3lV4, Odomtology 12-Step Recovery Media, PT1H6M35S, 41129, 50, 337
"Raymond - NA Speaker - ""One Addict Talking to Another""", 2mcw8NvxVTo, Odomtology 12-Step Recovery Media, PT55M41S, 50429, 61, 494
NA Speaker - Melvin L. - Narcotics Anonymous Speaker, JLPkoE1eYBQ, AA Speakers and More, PT1H7M22S, 18345, 24, 270
"Billy W. - NA Speaker - ""Old School Addict and Hope Dealer!""", 76QpJvV9XGc, Odomtology 12-Step Recovery Media, PT1H11M33S, 14622, 4, 154
Richie Rich - Narcotics Anonymous - NA Speaker, 35D_0GaxtbA, AA Speakers and More, PT25M23S, 1640, 0, 37
NA Speaker - Jimmy Jam - Narcotics Anonymous Speaker, Lx45fj9wU0o, AA Speakers and More, PT1H3M17S, 25541, 33, 309
"Khalis M. - NA Speaker - ""Twelve Steps to Freedom""", EiUuTQ4Xqjo, Odomtology 12-Step Recovery Media, PT55M55S, 13161, 24, 129
Sean G. - NA Speaker - Narcotics Anonymous Speaker, EIQIwWKYILA, AA Speakers and More, PT39M20S, 8122, 9, 145
Dan T. - NA Speaker 12-Step Recovery Drug Addict - Narcotics Anonymous Speaker, SlgREJWFaPk, Odomtology 12-Step Recovery Media, PT1H5M20S, 44583, 24, 304
"Alan A. - NA Speakers - ""Facing Everything To Recover""", PRupBR8VqOk, Odomtology 12-Step Recovery Media, PT1H4M53S, 38028, 18, 286
Dana M. - NA Speaker - Narcotics Anonymous Speaker, _0tgFEj4gSM, AA Speakers and More, PT43M9S, 3097, 5, 56
Danny T Na Speaker - Very Funny - Narcotics Anonymous Speaker 1991, oN7S7UXYwHc, Anthony Travels, PT1H20M31S, 1001, 0, 3
"Tony M. - NA Speaker - ""More Revealed"" - 12-Step Recovery from Drug Addiction", LJsPtNYv9qw, Odomtology 12-Step Recovery Media, PT1H11M13S, 38605, 46, 355
Benny L. - NA Speaker - Narcotics Anonymous Speaker, dXQ3UoV-NhM, AA Speakers and More, PT57M51S, 3188, 1, 42
"Laurie M. - NA Speaker -  ""The Difference between God's Will and Self Will""", Tg876fTc9PU, Odomtology 12-Step Recovery Media, PT42M23S, 15758, 24, 186
"Mikey D. - NA Speaker - ""The Lighter Side of Drug Addiction and Recovery"" (Hilarious!)", mG_Qt0z8nok, Odomtology 12-Step Recovery Media, PT1H10M18S, 81687, 56, 674
"Rich B. - NA speaker - ""The Way of Recovery Through NA""", xupie0uZsSU, Odomtology 12-Step Recovery Media, PT51M52S, 5736, 4, 51
"Kal M. - NA Speaker - ""My Battle Against Addiction""", Nw38wwANgDk, Odomtology 12-Step Recovery Media, PT1H11M44S, 15522, 9, 118
"Ousumane D. - NA Speakers - ""Program of Honesty""", 4_iAyAhyL3M, Odomtology 12-Step Recovery Media, PT50M8S, 23970, 15, 231
"Ron H. - NA Speakers - ""Letting Go of Baggage in Recovery""", WIOB2hq6Zas, Odomtology 12-Step Recovery Media, PT41M56S, 20272, 5, 115
NA Speaker - George P. - Narcotics Anonymous Speaker, pFghlKcN6x8, AA Speakers and More, PT1H15M43S, 4597, 2, 56
"Kalvin D. - NA Speaker - ""Because my sponsor said so!""", wf9Sp9KShPs, Odomtology 12-Step Recovery Media, PT58M40S, 3517, 3, 22
